"minPts","eps","Precision","Recall","F1"
"36",2,0.45,0.733333333333333,0.591397849462366,0.654761904761905
"101",3,0.45,0.733333333333333,0.591397849462366,0.654761904761905
"166",4,0.45,0.736842105263158,0.602150537634409,0.662721893491124
"232",5,0.46,0.779411764705882,0.56989247311828,0.658385093167702
"234",5,0.48,0.938775510204082,0.494623655913978,0.647887323943662
"298",6,0.47,0.859649122807018,0.526881720430108,0.653333333333333
"299",6,0.48,0.938775510204082,0.494623655913978,0.647887323943662
"364",7,0.48,0.938775510204082,0.494623655913978,0.647887323943662
"429",8,0.48,0.92,0.494623655913978,0.643356643356643
"494",9,0.48,0.92,0.494623655913978,0.643356643356643
"559",10,0.48,0.836363636363636,0.494623655913978,0.621621621621621
