Synthetic Data Stream
=====================

Parameters
----------

Number of steps:	 1
Proportion of outliers:	 0.01
Proportion type:	 proportional
Number of Dimensions:	 10
Minimum number of dim:	 2
Maximum number of dim:	 4
Possible margin values:	 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9
Cycle length:		 0
Volatility:		 0.1
Dependency:		 Linear
Overlap Allowed:		 
Discrete:		 0

Data
----

Number of points:	 10000
Number of outliers:	 93 

- Contingency Table

  subspaces count
1     1,2,3    93

- Patterns

Index		Subspaces
322		1,2,3		
329		1,2,3		
412		1,2,3		
421		1,2,3		
453		1,2,3		
643		1,2,3		
834		1,2,3		
896		1,2,3		
907		1,2,3		
1041		1,2,3		
1079		1,2,3		
1195		1,2,3		
1296		1,2,3		
1399		1,2,3		
1402		1,2,3		
1518		1,2,3		
1557		1,2,3		
1629		1,2,3		
1933		1,2,3		
1980		1,2,3		
1996		1,2,3		
2092		1,2,3		
2101		1,2,3		
2195		1,2,3		
2336		1,2,3		
2474		1,2,3		
2564		1,2,3		
2678		1,2,3		
2779		1,2,3		
2863		1,2,3		
3057		1,2,3		
3415		1,2,3		
3496		1,2,3		
3686		1,2,3		
3893		1,2,3		
3943		1,2,3		
4182		1,2,3		
4207		1,2,3		
4359		1,2,3		
4400		1,2,3		
4444		1,2,3		
4573		1,2,3		
4642		1,2,3		
4773		1,2,3		
4777		1,2,3		
4895		1,2,3		
4970		1,2,3		
4985		1,2,3		
5019		1,2,3		
5451		1,2,3		
5704		1,2,3		
5714		1,2,3		
5921		1,2,3		
6205		1,2,3		
6304		1,2,3		
6419		1,2,3		
6556		1,2,3		
6585		1,2,3		
6695		1,2,3		
6798		1,2,3		
7048		1,2,3		
7170		1,2,3		
7332		1,2,3		
7417		1,2,3		
7587		1,2,3		
7597		1,2,3		
7634		1,2,3		
7659		1,2,3		
7673		1,2,3		
7675		1,2,3		
7718		1,2,3		
7735		1,2,3		
7907		1,2,3		
7954		1,2,3		
8001		1,2,3		
8057		1,2,3		
8101		1,2,3		
8169		1,2,3		
8170		1,2,3		
8201		1,2,3		
8214		1,2,3		
8629		1,2,3		
8723		1,2,3		
8881		1,2,3		
9052		1,2,3		
9072		1,2,3		
9118		1,2,3		
9196		1,2,3		
9440		1,2,3		
9523		1,2,3		
9810		1,2,3		
9907		1,2,3		
9939		1,2,3		

Subspace description
--------------------

- Notes

Rows:		subspaces (<start>:<end>)
Columns:	<step_number>.<step_size>
Values:		 0 ='no dependence', 0.9='high dependence'

- Description

1,2,3  :  0.9 
