"minPts","eps","Precision", "Recall","F1"
2,0.1,0.0097,1,0.0192136278102407
2,0.11,0.0097,1,0.0192136278102407
2,0.12,0.00970388155262105,1,0.0192212424452591
2,0.13,0.00970970970970971,1,0.0192326757212253
2,0.14,0.00971943887775551,1,0.0192517614369356
2,0.15,0.00973309251454947,1,0.0192785451654576
2,0.16,0.00975266438769355,1,0.0193169371701683
2,0.17,0.00978611783696529,1,0.0193825556998701
2,0.18,0.00982278481012658,1,0.0194544725230646
2,0.19,0.00988585405625764,1,0.0195781612675346
2,0.2,0.00999073025028324,1,0.0197838058331634
2,0.21,0.0101284327033518,1,0.0200537523258218
2,0.22,0.0103411513859275,1,0.0204706130632057
2,0.23,0.0106057292805598,1,0.0209888564318944
2,0.24,0.0109505531722737,1,0.0216638749302066
2,0.25,0.011513353115727,1,0.0227646092466557
2,0.26,0.0122940430925222,1,0.0242894703893827
2,0.27,0.0132713093446436,1,0.0261949770456387
2,0.28,0.0143971205758848,0.989690721649485,0.0283813747228381
2,0.29,0.0162354134956875,0.989690721649485,0.0319467554076539
2,0.3,0.0189536031589339,0.989690721649485,0.0371948857032158
2,0.31,0.0227380388441497,0.989690721649485,0.0444547348923362
2,0.32,0.0274052478134111,0.969072164948454,0.0533030904451375
2,0.33,0.0342793955031331,0.958762886597938,0.0661921708185053
2,0.34,0.0434572670207629,0.927835051546392,0.0830258302583026
2,0.35,0.0546272493573265,0.876288659793814,0.102843315184513
2,0.36,0.0752878653675819,0.876288659793814,0.138662316476346
2,0.37,0.105926860025221,0.865979381443299,0.18876404494382
2,0.38,0.153271028037383,0.845360824742268,0.259493670886076
2,0.39,0.189839572192513,0.731958762886598,0.301486199575372
2,0.4,0.244525547445255,0.690721649484536,0.361185983827493
2,0.41,0.322916666666667,0.639175257731959,0.429065743944637
2,0.42,0.444444444444444,0.618556701030928,0.517241379310345
2,0.43,0.53,0.54639175257732,0.538071065989848
2,0.44,0.593023255813954,0.525773195876289,0.557377049180328
2,0.45,0.661971830985915,0.484536082474227,0.55952380952381
2,0.46,0.814814814814815,0.45360824742268,0.582781456953642
2,0.47,0.88,0.45360824742268,0.598639455782313
2,0.48,0.916666666666667,0.45360824742268,0.606896551724138
2,0.49,0.977272727272727,0.443298969072165,0.609929078014184
2,0.5,0.975,0.402061855670103,0.569343065693431
2,0.51,1,0.371134020618557,0.541353383458647
2,0.52,1,0.371134020618557,0.541353383458647
2,0.53,1,0.350515463917526,0.519083969465649
2,0.54,1,0.34020618556701,0.507692307692308
2,0.55,1,0.309278350515464,0.47244094488189
