"minPts","eps","Precision", "Recall","F1"
2,0.1,0.00930186037207442,1,0.0184322663759786
2,0.11,0.00930186037207442,1,0.0184322663759786
2,0.12,0.00930372148859544,1,0.0184359203092477
2,0.13,0.00930930930930931,1,0.0184468908063076
2,0.14,0.00932050511124474,1,0.0184688710157879
2,0.15,0.00933172787477423,1,0.0184909036683567
2,0.16,0.00934297769740808,1,0.0185129889519259
2,0.17,0.00938351326808596,1,0.0185925629748101
2,0.18,0.00942535725144421,1,0.0186746987951807
2,0.19,0.00949076436371058,1,0.0188030731904569
2,0.2,0.0095679012345679,1,0.0189544481809844
2,0.21,0.00972091564753841,1,0.0192546583850932
2,0.22,0.00993483602179254,1,0.0196742119737677
2,0.23,0.0101761680709049,1,0.0201473136915078
2,0.24,0.0105513955071477,1,0.0208824520040418
2,0.25,0.0110530068932731,1,0.0218643470083461
2,0.26,0.0117069486404834,1,0.0231429637924599
2,0.27,0.0126050420168067,1,0.024896265560166
2,0.28,0.0137807070101857,0.989247311827957,0.0271827448663023
2,0.29,0.0152812762384551,0.978494623655914,0.0300925925925926
2,0.3,0.0175093448750738,0.956989247311828,0.0343894899536321
2,0.31,0.0207988655164264,0.946236559139785,0.0407030527289547
2,0.32,0.0253091745757837,0.946236559139785,0.0492997198879552
2,0.33,0.0319303338171263,0.946236559139785,0.0617760617760618
2,0.34,0.0409990574929312,0.935483870967742,0.0785553047404063
2,0.35,0.0549589387239419,0.935483870967742,0.10381861575179
2,0.36,0.0734024179620035,0.913978494623656,0.135891286970424
2,0.37,0.100244498777506,0.881720430107527,0.180021953896817
2,0.38,0.135181975736568,0.838709677419355,0.232835820895522
2,0.39,0.182278481012658,0.774193548387097,0.295081967213115
2,0.4,0.255395683453237,0.763440860215054,0.382749326145553
2,0.41,0.34010152284264,0.720430107526882,0.462068965517241
2,0.42,0.432432432432432,0.688172043010753,0.531120331950208
2,0.43,0.52212389380531,0.634408602150538,0.572815533980582
2,0.44,0.666666666666667,0.623655913978495,0.644444444444444
2,0.45,0.733333333333333,0.591397849462366,0.654761904761905
2,0.46,0.787878787878788,0.559139784946237,0.654088050314465
2,0.47,0.872727272727273,0.516129032258065,0.648648648648649
2,0.48,0.978260869565217,0.483870967741935,0.647482014388489
2,0.49,1,0.43010752688172,0.601503759398496
2,0.5,1,0.354838709677419,0.523809523809524
2,0.51,1,0.344086021505376,0.512
2,0.52,1,0.333333333333333,0.5
2,0.53,1,0.32258064516129,0.48780487804878
2,0.54,1,0.290322580645161,0.45
2,0.55,1,0.247311827956989,0.396551724137931
2,0.56,1,0.236559139784946,0.382608695652174
2,0.57,1,0.225806451612903,0.368421052631579
2,0.58,1,0.204301075268817,0.339285714285714
2,0.59,1,0.193548387096774,0.324324324324324
2,0.6,1,0.182795698924731,0.309090909090909
2,0.61,1,0.150537634408602,0.261682242990654
2,0.62,1,0.129032258064516,0.228571428571429
2,0.63,1,0.118279569892473,0.211538461538462
2,0.64,1,0.10752688172043,0.194174757281553
2,0.65,1,0.0967741935483871,0.176470588235294
2,0.66,1,0.0752688172043011,0.14
2,0.67,1,0.0537634408602151,0.102040816326531
2,0.68,1,0.0537634408602151,0.102040816326531
2,0.69,1,0.032258064516129,0.0625
2,0.7,1,0.021505376344086,0.0421052631578947
2,0.71,1,0.021505376344086,0.0421052631578947
2,0.72,1,0.010752688172043,0.0212765957446809
2,0.73,1,0.010752688172043,0.0212765957446809
2,0.74,1,0.010752688172043,0.0212765957446809
3,0.1,0.0093,1,0.0184286138908154
3,0.11,0.0093,1,0.0184286138908154
3,0.12,0.0093,1,0.0184286138908154
3,0.13,0.0093,1,0.0184286138908154
3,0.14,0.0093,1,0.0184286138908154
3,0.15,0.0093,1,0.0184286138908154
3,0.16,0.0093,1,0.0184286138908154
3,0.17,0.00930279083725117,1,0.0184340931615461
3,0.18,0.00930279083725117,1,0.0184340931615461
3,0.19,0.00930279083725117,1,0.0184340931615461
3,0.2,0.0093167701863354,1,0.0184615384615385
3,0.21,0.00932517798054748,1,0.018478044903636
3,0.22,0.00935143288084465,1,0.0185295875672445
3,0.23,0.0094081942336874,1,0.0186410102224895
3,0.24,0.00950531479967293,1,0.018831629037157
3,0.25,0.00966334164588529,1,0.0191417104044458
3,0.26,0.0098936170212766,1,0.0195933845991783
3,0.27,0.0103655818100758,1,0.0205184776613348
3,0.28,0.0110687931444894,1,0.0218952324896998
3,0.29,0.0119217312427109,0.989247311827957,0.0235595390524968
3,0.3,0.013491714327614,0.989247311827957,0.0266203703703704
3,0.31,0.0156223175965665,0.978494623655914,0.0307536329841163
3,0.32,0.0190735694822888,0.978494623655914,0.0374177631578947
3,0.33,0.0245283018867925,0.978494623655914,0.0478569550354983
3,0.34,0.0311624649859944,0.956989247311828,0.0603594438792811
3,0.35,0.0421307506053269,0.935483870967742,0.0806302131603336
3,0.36,0.0583791208791209,0.913978494623656,0.109748224661072
